index,date,latitude,longitude,humidity,vapor_pressure,temperature,precip,solar_radiation,pressure,wind_speed,wind_direction_degree,feels_like,wind_direction,wind_scale,code,text,power
3,1,37.891586,115.144497,74.34915334566583,19.14164169732669,21.565507500000024,0.0,0.0,1007.257275,1.5840163500000002,148.4014246839156,23.163677194077128,南东南,1,0,晴,0
7,2,37.891586,115.144497,72.04629784830907,18.91811853438882,21.88832500000001,0.0,0.0,1006.8482,2.912074375,157.85943618070033,22.601165365769344,南东南,2,0,晴,0
11,3,37.891586,115.144497,71.35251530142145,18.59530999354721,21.764875000000018,0.0,0.0,1006.578625,3.243123675,160.41950307572506,22.18954123499161,南东南,2,0,晴,0
15,4,37.891586,115.144497,71.77979634656612,18.31922501371832,21.42257500000005,0.0,0.0,1006.4338,3.0985442,161.6575276725664,21.862292498879142,南东南,2,0,晴,0
19,5,37.891586,115.144497,79.3495977461062,19.229844380038163,20.580085000000054,0.0,0.0,1006.8368,2.11632695,151.96114383322896,21.781188719131293,南东南,2,0,晴,0
23,6,37.891586,115.144497,84.40190096637386,20.00968172310848,20.22399500000006,0.0,0.0,1007.12945,1.830197575,157.60680112344232,21.74184648331704,南东南,2,0,晴,0
27,7,37.891586,115.144497,86.8426219774893,20.85022734272204,20.428725000000043,0.0,7.19612025,1007.763905,1.1688852525,166.6504944380844,22.558370568345,南东南,1,0,晴,0
31,8,37.891586,115.144497,92.36971246487238,21.26494155250743,19.74965000000003,0.980664975,14.29241975,1008.061335,1.4276150424999998,158.5840791678735,21.746566423531743,南东南,1,13,小雨,-33912
35,9,37.891586,115.144497,96.17192444333251,21.871091239917888,19.552575000000047,2.5685128500000003,66.778256,1008.503205,1.11950007,162.708324847882,21.856973678383223,南东南,1,14,中雨,-131769
39,10,37.891586,115.144497,97.6643114049204,22.469272069541624,19.73920000000004,2.964521375,93.895825,1008.59771,0.6725619025,165.5827934405894,22.4664394518144,南东南,1,14,中雨,-129298
43,11,37.891586,115.144497,98.48384656368523,22.87155782665148,19.890660000000025,4.34314915,125.6274125,1008.497125,0.6293693925,227.68416300700025,22.73677347876136,西南,1,14,中雨,-152261
47,12,37.891586,115.144497,100.31075132414522,22.85359407981839,19.581672500000025,7.896485,119.616478,1008.6185,0.73050041,271.0124598261839,22.33696050079822,西,1,14,中雨,-66176
51,13,37.891586,115.144497,96.91356375800213,22.189786327829108,19.66184000000004,11.34618475,446.7896035,1008.2492,1.079849625,149.69769253489864,22.063199129496272,南东南,1,15,大雨,-131611
55,14,37.891586,115.144497,97.62228762880416,21.66403637406976,19.159077500000024,9.194087,228.24731000000003,1007.984345,2.140009675,149.07355127052426,20.731440516846963,南东南,2,15,大雨,-119511
59,15,37.891586,115.144497,97.07545122826214,21.51781412296851,19.140539999999987,4.488023,95.30415,1007.4235775,2.132236775,122.18802368675009,20.687491683485487,东东南,2,14,中雨,-673061
63,16,37.891586,115.144497,97.329086794862,21.57562164411525,19.14172000000002,1.90749025,83.6079125,1006.7955625,1.9681532,98.02917530517826,20.8069414702978,东,2,13,小雨,-617330
67,17,37.891586,115.144497,98.63534658502844,21.70819974588726,19.02614000000005,1.301306975,40.75665,1006.61912,1.74077915,94.94509141568928,20.857558981677013,东,2,13,小雨,-72539
71,18,37.891586,115.144497,98.19095197473716,21.44536960153467,18.903297500000008,1.339266975,6.7285775,1006.81219,1.638390375,82.84649787088736,20.74027816246642,东,2,13,小雨,-19468
75,19,37.891586,115.144497,97.96644366718532,21.21291041087738,18.7654675,2.39945375,0.0,1007.025475,1.842901825,86.66315011143418,20.41353970827181,东,2,13,小雨,0
79,20,37.891586,115.144497,97.32462865297772,21.22350319466864,18.8786725,3.436787275,0.0,1007.411625,0.9915822025,73.00268185251355,21.09009793104235,东东北,1,14,中雨,0
83,21,37.891586,115.144497,96.55552467184803,20.420492788052943,18.38899250000003,2.323706,0.0,1007.87915,2.1049343175,49.29357234396864,19.68242411936296,东北,2,13,小雨,0
87,22,37.891586,115.144497,97.14154396509277,19.52574378882072,17.580250000000035,0.539790035,0.0,1007.550275,2.083263475,41.28431170100632,18.65291265483209,东北,2,13,小雨,0
91,23,37.891586,115.144497,96.73222862605786,19.229222313903367,17.40472500000004,0.0,0.0,1007.6445,1.811896225,33.96201871757506,18.58238255014479,东北,2,0,晴,0
