point_id,time,ws_10,ws_30,ws_50,ws_70,ws_90,ws_120,ws_150,ws_200,wd_10,wd_30,wd_50,wd_70,wd_90,wd_120,wd_150,wd_200,tem_10,tem_30,tem_50,tem_70,tem_90,tem_120,tem_150,tem_200,rhu_10,rhu_30,rhu_50,rhu_70,rhu_90,rhu_120,rhu_150,rhu_200,sr,power
39.575:116.250,202208060800,2.5,2.84,3.12,3.3799999,3.6399999,3.6899998,3.6,3.34,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.019999,27.91,27.81,27.71,27.619999,27.48,27.34,27.109999,84.71,83.659996,83.56,83.509995,83.56,83.81,84.06,85.2,203.59741,-42067
39.575:116.250,202208060805,2.481666667,2.8175,3.0925,3.346666575,3.600833225,3.648333133,3.5575,3.30666665,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.04916567,27.92916667,27.82666667,27.725,27.63333233,27.49083325,27.3475,27.10916558,84.5875,83.59582967,83.51083333,83.47499542,83.53166667,83.78083333,84.03083333,85.13666625,207.2998667,-43000
39.575:116.250,202208060810,2.463333333,2.795,3.065,3.31333325,3.56166655,3.606666467,3.515,3.2733333,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.07833233,27.94833333,27.84333333,27.74,27.64666567,27.5016665,27.355,27.10833217,84.465,83.53166333,83.46166667,83.43999583,83.50333333,83.75166667,84.00166667,85.0733325,211.0023233,-37335
39.575:116.250,202208060815,2.445,2.7725,3.0375,3.279999925,3.522499875,3.5649998,3.4725,3.23999995,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.107499,27.9675,27.86,27.755,27.659999,27.51249975,27.3625,27.10749875,84.3425,83.467497,83.4125,83.40499625,83.475,83.7225,83.9725,85.00999875,214.70478,-45289
39.575:116.250,202208060820,2.426666667,2.75,3.01,3.2466666,3.4833332,3.523333133,3.43,3.2066666,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.13666567,27.98666667,27.87666667,27.77,27.67333233,27.523333,27.37,27.10666533,84.22,83.40333067,83.36333333,83.36999667,83.44666667,83.69333333,83.94333333,84.946665,218.4072367,-51126
39.575:116.250,202208060825,2.408333333,2.7275,2.9825,3.213333275,3.444166525,3.481666467,3.3875,3.17333325,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.16583233,28.00583333,27.89333333,27.785,27.68666567,27.53416625,27.3775,27.10583192,84.0975,83.33916433,83.31416667,83.33499708,83.41833333,83.66416667,83.91416667,84.88333125,222.1096933,-52235
39.575:116.250,202208060830,2.39,2.705,2.955,3.17999995,3.40499985,3.4399998,3.345,3.1399999,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.194999,28.025,27.91,27.8,27.699999,27.5449995,27.385,27.1049985,83.975,83.274998,83.265,83.2999975,83.39,83.635,83.885,84.8199975,225.81215,-38516
39.575:116.250,202208060835,2.371666667,2.6825,2.9275,3.146666625,3.365833175,3.398333133,3.3025,3.10666655,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.22416567,28.04416667,27.92666667,27.815,27.71333233,27.55583275,27.3925,27.10416508,83.8525,83.21083167,83.21583333,83.26499792,83.36166667,83.60583333,83.85583333,84.75666375,229.5146067,-53585
39.575:116.250,202208060840,2.353333333,2.66,2.9,3.1133333,3.3266665,3.356666467,3.26,3.0733332,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.25333233,28.06333333,27.94333333,27.83,27.72666567,27.566666,27.4,27.10333167,83.73,83.14666533,83.16666667,83.22999833,83.33333333,83.57666667,83.82666667,84.69333,233.2170633,-40731
39.575:116.250,202208060845,2.335,2.6375,2.8725,3.079999975,3.287499825,3.3149998,3.2175,3.03999985,49.643288,51.012436,52.142143,53.093857,53.93157,55.173626,56.497314,59.579018,28.282499,28.0825,27.96,27.845,27.739999,27.57749925,27.4075,27.10249825,83.6075,83.082499,83.1175,83.19499875,83.305,83.5475,83.7975,84.62999625,236.91952,-35652
39.575:116.250,202208060850,2.316666667,2.615,2.845,3.04666665,3.24833315,3.273333133,3.175,3.0066665,46.84271133,48.044623,49.02084333,49.843979,50.56557467,52.09213733,54.021128,58.58908733,28.31166567,28.10166667,27.97666667,27.86,27.75333233,27.5883325,27.415,27.10166483,83.485,83.01833267,83.06833333,83.15999917,83.27666667,83.51833333,83.76833333,84.5666625,240.6219767,-34502
39.575:116.250,202208060855,2.298333333,2.5925,2.8175,3.013333325,3.209166475,3.231666467,3.1325,2.97333315,44.04213467,45.07681,45.89954367,46.594101,47.19957933,49.01064867,51.544942,57.59915667,28.34083233,28.12083333,27.99333333,27.875,27.76666567,27.59916575,27.4225,27.10083142,83.3625,82.95416633,83.01916667,83.12499958,83.24833333,83.48916667,83.73916667,84.50332875,244.3244333,-26707
39.575:116.250,202208060900,2.28,2.57,2.79,2.98,3.1699998,3.1899998,3.09,2.9399998,41.241558,42.108997,42.778244,43.344223,43.833584,45.92916,49.068756,56.609226,28.369999,28.14,28.01,27.89,27.779999,27.609999,27.43,27.099998,83.24,82.89,82.97,83.09,83.22,83.46,83.71,84.439995,248.02689,-32687
39.575:116.250,202208060905,2.249166667,2.530833333,2.745,2.930833325,3.116666483,3.13333315,3.033333317,2.884166483,41.241558,42.108997,42.778244,43.344223,43.833584,45.92916,49.068756,56.609226,28.40333233,28.16333333,28.03166658,27.91083333,27.79916575,27.62749908,27.4475,27.11416475,83.16,82.8775,82.96916667,83.095833,83.23166667,83.47583333,83.72916625,84.44832875,251.7533492,-49980
39.575:116.250,202208060910,2.218333333,2.491666667,2.7,2.88166665,3.063333167,3.0766665,2.976666633,2.828333167,41.241558,42.108997,42.778244,43.344223,43.833584,45.92916,49.068756,56.609226,28.43666567,28.18666667,28.05333317,27.93166667,27.8183325,27.64499917,27.465,27.1283315,83.08,82.865,82.96833333,83.101666,83.24333333,83.49166667,83.7483325,84.4566625,255.4798083,-70524
39.575:116.250,202208060915,2.1875,2.4525,2.655,2.832499975,3.00999985,3.01999985,2.91999995,2.77249985,41.241558,42.108997,42.778244,43.344223,43.833584,45.92916,49.068756,56.609226,28.469999,28.21,28.07499975,27.9525,27.83749925,27.66249925,27.4825,27.14249825,83,82.8525,82.9675,83.107499,83.255,83.5075,83.76749875,84.46499625,259.2062675,-68334
