,data_date,power,solar,wea_code,temperature,highest_temperature,lowest_temperature,humidity,pressure,wind_speed,wind_meter,visibility,air_pm_25,air,day_weather_code,night_weather_code
0,0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
1,0.05,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
2,0.1,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
3,0.2,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
4,0.25,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
5,0.3,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
6,0.35,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
7,0.4,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
8,0.5,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
9,0.55,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
10,1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
11,1.05,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
12,1.1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
13,1.2,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
14,1.25,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
15,1.3,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
16,1.35,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
17,1.4,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
18,1.5,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
19,1.55,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
20,2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
21,2.05,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
22,2.1,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
23,2.2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
24,2.25,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
25,2.3,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
26,2.35,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
27,2.4,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
28,2.5,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
29,2.55,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
30,3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
31,3.05,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
32,3.1,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
33,3.2,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
34,3.25,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
35,3.3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
36,3.35,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
37,3.4,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
38,3.5,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
39,3.55,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
40,4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
41,4.05,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
42,4.1,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
43,4.2,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
44,4.25,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
45,4.3,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
46,4.35,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
47,4.4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
48,4.5,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,52,200,100
49,4.55,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,52,200,100
50,5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
51,5.05,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
52,5.1,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
53,5.2,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
54,5.25,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
55,5.3,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
56,5.35,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
57,5.4,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
58,5.5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
59,5.55,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
60,6,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
61,6.05,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
62,6.1,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
63,6.2,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
64,6.25,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
65,6.3,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
66,6.35,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
67,6.4,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
68,6.5,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
69,6.55,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
70,7,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
71,7.05,0,0,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
72,7.1,0,0,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
73,7.2,0,2,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
74,7.25,44,4,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
75,7.3,-121,6,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
76,7.35,-396,9,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
77,7.4,-797,14,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
78,7.5,-1893,26,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
79,7.55,-2485,32,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
80,8,-3446,38,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
81,8.05,-4450,44,100,-8,-2,-9,0.2,1031,2,6,30,6,52,100,100
82,8.1,-5600,50,100,-8,-2,-9,0.2,1031,2,6,30,6,52,100,100
83,8.2,-9770,60,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
84,8.25,-11339,66,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
85,8.3,-13461,70,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
86,8.35,-14334,83,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
87,8.4,-15532,102,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
88,8.5,-19032,171,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
89,8.55,-21017,156,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
90,9,-23056,209,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
91,9.05,-25061,119,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
92,9.1,-27265,242,100,-6,-2,-9,0.18,1032,2,6,30,6,51,100,100
93,9.2,-29783,275,100,-6,-2,-9,0.18,1032,2,6,30,6,51,100,100
94,9.25,-30703,290,100,-6,-2,-9,0.18,1032,2,6,30,6,51,100,100
95,9.3,-32047,301,100,-6,-2,-9,0.18,1032,2,6,30,6,50,100,100
96,9.35,-33445,318,100,-6,-2,-9,0.18,1032,2,6,30,6,50,100,100
97,9.4,-34653,332,100,-6,-2,-9,0.18,1032,2,6,30,6,50,100,100
98,9.5,-37724,363,100,-6,-2,-9,0.18,1032,2,6,30,6,50,100,100
99,9.55,-40561,373,100,-6,-2,-9,0.18,1032,2,6,30,6,50,100,100
100,10,-42806,387,100,-6,-2,-9,0.18,1032,2,6,30,6,50,100,100
101,10.05,-45612,407,100,-6,-2,-9,0.18,1032,2,6,30,6,50,100,100
102,10.1,-46311,386,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
103,10.2,-48217,448,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
104,10.25,-49117,459,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
105,10.3,-49533,473,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
106,10.35,-50531,486,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
107,10.4,-51101,499,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
108,10.5,-52432,517,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
109,10.55,-52936,525,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
110,11,-52879,535,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
111,11.05,-53806,,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
112,11.1,-54455,542,100,-5,-2,-9,0.16,1032,2,7,30,6,50,100,100
113,11.2,-54895,562,100,-4,-2,-9,0.15,1032,2,11,30,6,50,100,100
114,11.25,-54839,567,100,-4,-2,-9,0.15,1032,2,11,30,6,50,100,100
115,11.3,-54609,575,100,-4,-2,-9,0.15,1032,2,11,30,6,50,100,100
116,11.35,-55171,582,100,-4,-2,-9,0.15,1032,2,11,30,6,50,100,100
