data_date,power,solar,wea_code,temperature,highest_temperature,lowest_temperature,humidity,pressure,wind_speed,wind_meter,visibility,air_pm_25,air,day_weather_code,night_weather_code
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.19,1028,2,8,30,5,20,200,100
0,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
0,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-4,3,-10,0.16,1029,4,24,30,5,20,200,100
1,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.16,1029,2,11,30,5,20,200,100
2,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,20,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
3,0,0,100,-5,3,-10,0.14,1030,3,15,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,37,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,52,200,100
4,0,0,100,-6,3,-10,0.15,1030,3,18,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
5,0,0,100,-7,3,-10,0.15,1030,2,10,30,5,52,200,100
6,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
6,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
6,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
6,0,0,100,-7,3,-10,0.17,1030,3,14,30,6,51,200,100
6,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
6,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
6,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
6,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
6,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
6,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
7,0,0,100,-7,-2,-9,0.17,1030,3,14,30,6,51,100,100
7,0,0,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,0,0,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,0,2,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,44,4,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,-121,6,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,-396,9,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,-797,14,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,-1893,26,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
7,-2485,32,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
8,-3446,38,100,-7,-2,-9,0.17,1031,3,14,30,6,52,100,100
8,-4450,44,100,-8,-2,-9,0.2,1031,2,6,30,6,52,100,100
8,-5600,50,100,-8,-2,-9,0.2,1031,2,6,30,6,52,100,100
8,-9770,60,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
8,-11339,66,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
8,-13461,70,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
8,-14334,83,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
8,-15532,102,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
8,-19032,171,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
8,-21017,156,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
9,-23056,209,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
9,-25061,119,100,-8,-2,-9,0.2,1031,2,6,30,6,51,100,100
